"Name","DisplayName","State","StartMode","PathName"
"WerSvc","Servi?o de Relat?rios de Erro do Windows","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k WerSvcGroup"
"Wecsvc","Coletor de Eventos do Windows","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"TapiSrv","Telefonia","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"UdkUserSvc_371894","Servi?o de usu?rio UDK_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup"
"AdobeARMservice","Adobe Acrobat Update Service","Stopped","Disabled","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"""
"WpcMonSvc","Controles dos Pais","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalService"
"WEPHOSTSVC","Servi?o de Host do Provedor de Criptografia do Windows","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k WepHostSvcGroup"
"wercplsupport","Suporte do Painel de Controle Relat?rios de problemas","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"WebManagement","Web Management","Stopped","Disabled","C:\WINDOWS\system32\WebManagement.exe"
"DevicePickerUserSvc_371894","DevicePicker_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"DevicesFlowUserSvc_371894","DevicesFlow_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"WFDSConMgrSvc","Servi?o do Gerenciador de Conex?es de Servi?os do Wi-Fi Direct","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DeviceAssociationBrokerSvc_371894","DeviceAssociationBroker_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p"
"MessagingService_371894","MessagingService_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"TieringEngineService","Gerenciamento de Camadas de Armazenamento","Stopped","Manual","C:\WINDOWS\system32\TieringEngineService.exe"
"WebexService","Cisco WebEx Update Service","Stopped","Manual","""C:\Program Files (x86)\Webex\Webex\Applications\WebExService.exe"""
"LxssManagerUser_371894","LxssManagerUser_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LxssManagerUser -p"
"WlanSvc","Configura??o Autom?tica de WLAN","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"workfolderssvc","Pastas de Trabalho","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"WMPNetworkSvc","Servi?o de Compartilhamento de Rede do Windows Media Player","Stopped","Manual","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"vds","Disco Virtual","Stopped","Manual","C:\WINDOWS\System32\vds.exe"
"VBoxSDS","VirtualBox system service","Stopped","Manual","""C:\Program Files\Oracle\VirtualBox\VBoxSDS.exe"""
"wuauserv","Windows Update","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"VacSvc","Servi?o Compositor de ?udio Volum?trico","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"VSS","C?pia de Sombra de Volume","Stopped","Manual","C:\WINDOWS\system32\vssvc.exe"
"WwanSvc","Configura??o Autom?tica de WWAN","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"XblAuthManager","Gerenciador de Autentica??o Xbox Live","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"vmicvmsession","Servi?o Direto do Hyper-V PowerShell","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicvss","Solicitante de C?pia de Sombra de Volume do Hyper-V","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmictimesync","Servi?o de Sincroniza??o de Data/Hora do Hyper-V","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WPDBusEnum","Servi?o Enumerador de Dispositivos Port?teis","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted"
